ANIO,MES,PROVINCIA,DISTRITO,TIPO_DELITO,NIVEL_RIESGO_REAL,NIVEL_RIESGO_PREDICHO,TASA_REAL,TASA_PREDICHA,DELITOS_ESTIMADOS
2026,4,PACASMAYO,JEQUETEPEQUE,Hurto,BAJO,BAJO,2.53,3.6256543141184716,1
2026,4,PACASMAYO,JEQUETEPEQUE,Violencia contra la mujer e integrantes,BAJO,BAJO,5.061,4.5363791093304435,2
2026,4,JULCAN,JULCAN,Extorsión,BAJO,BAJO,2.021,1.22667690490725,1
2026,4,JULCAN,JULCAN,Hurto,BAJO,BAJO,2.021,1.3355645747245977,1
2026,4,JULCAN,JULCAN,Robo,BAJO,BAJO,1.011,1.2898119093684814,1
2026,4,OTUZCO,LA CUESTA,Violencia contra la mujer e integrantes,BAJO,BAJO,18.315,12.866843551089737,1
2026,4,TRUJILLO,LA ESPERANZA,Estafa,MEDIO,MEDIO,0.427,0.8097748105042555,17
2026,4,TRUJILLO,LA ESPERANZA,Extorsión,ALTO,ALTO,2.184,1.4336036476674603,30
2026,4,TRUJILLO,LA ESPERANZA,Hurto,ALTO,ALTO,1.662,2.832338919835395,60
2026,4,TRUJILLO,LA ESPERANZA,Robo,MEDIO,MEDIO,0.332,1.7945603563326433,38
2026,4,TRUJILLO,LA ESPERANZA,Violencia contra la mujer e integrantes,ALTO,ALTO,2.611,3.9885112371172915,84
2026,4,TRUJILLO,LAREDO,Estafa,BAJO,BAJO,0.491,0.6958226692451782,3
2026,4,TRUJILLO,LAREDO,Extorsión,MEDIO,BAJO,1.474,1.1743029503246598,5
2026,4,TRUJILLO,LAREDO,Hurto,MEDIO,MEDIO,1.474,2.3970303779649966,10
2026,4,TRUJILLO,LAREDO,Robo,BAJO,MEDIO,0.737,1.726737785124853,7
2026,4,TRUJILLO,LAREDO,Violencia contra la mujer e integrantes,MEDIO,MEDIO,2.949,4.0124643529666875,16
2026,4,GRAN CHIMU,LUCMA,Robo,BAJO,BAJO,1.705,1.7994248769706582,1
2026,4,OTUZCO,MACHE,Hurto,BAJO,BAJO,3.754,4.876699137511366,1
2026,4,ASCOPE,MAGDALENA DE CAO,Robo,BAJO,BAJO,5.917,3.570755961306481,1
2026,4,TRUJILLO,MOCHE,Estafa,MEDIO,BAJO,1.168,0.5121081663236564,2
2026,4,TRUJILLO,MOCHE,Extorsión,BAJO,BAJO,0.467,0.8635955072326185,4
2026,4,TRUJILLO,MOCHE,Hurto,MEDIO,ALTO,3.504,4.4954362320421515,19
2026,4,TRUJILLO,MOCHE,Robo,MEDIO,ALTO,3.504,4.227494331559453,18
2026,4,TRUJILLO,MOCHE,Violencia contra la mujer e integrantes,MEDIO,MEDIO,2.103,4.16466108516262,18
2026,4,OTUZCO,OTUZCO,Estafa,BAJO,BAJO,0.391,0.48871657090344334,1
2026,4,OTUZCO,OTUZCO,Hurto,BAJO,BAJO,0.782,1.1483961671856526,3
2026,4,OTUZCO,OTUZCO,Robo,BAJO,BAJO,0.391,0.6778933783734471,2
2026,4,OTUZCO,OTUZCO,Violencia contra la mujer e integrantes,MEDIO,MEDIO,2.345,2.4040014448037845,6
2026,4,CHEPEN,PACANGA,Hurto,BAJO,BAJO,0.74,2.5446457940024603,7
2026,4,CHEPEN,PACANGA,Robo,MEDIO,MEDIO,1.85,3.1042035418050298,8
2026,4,CHEPEN,PACANGA,Violencia contra la mujer e integrantes,MEDIO,MEDIO,2.22,4.311184241969073,12
2026,4,PACASMAYO,PACASMAYO,Estafa,MEDIO,MEDIO,1.596,1.274319974783902,4
2026,4,PACASMAYO,PACASMAYO,Extorsión,MEDIO,MEDIO,4.149,2.2919197287113864,7
2026,4,PACASMAYO,PACASMAYO,Hurto,MEDIO,MEDIO,4.149,3.677408880871582,12
2026,4,PACASMAYO,PACASMAYO,Robo,MEDIO,BAJO,1.277,1.4669429297875063,5
