ANIO,MES,PROVINCIA,DISTRITO,TIPO_DELITO,POBLACION,DENSIDAD_POB,LAG_1,LAG_3,PROMEDIO_MOVIL_3M,VAR_INTERANUAL,CANTIDAD_DELITOS,TASA_DELITOS_10K,NIVEL_RIESGO
2024,11,TRUJILLO,EL PORVENIR,Extorsión,215795,5880.0,48,44,47.67,-21,47,2.178,ALTO
2024,11,TRUJILLO,EL PORVENIR,Hurto,215795,5880.0,41,37,38.0,-29,34,1.576,ALTO
2024,11,TRUJILLO,EL PORVENIR,Robo,215795,5880.0,36,40,35.33,-37,22,1.019,ALTO
2024,11,TRUJILLO,EL PORVENIR,Secuestro,215795,5880.0,0,1,0.33,1,1,0.046,BAJO
2024,11,TRUJILLO,EL PORVENIR,Violencia contra la mujer e integrantes,215795,5880.0,34,48,48.67,-21,55,2.549,ALTO
2024,11,TRUJILLO,FLORENCIA DE MORA,Estafa,36487,18335.2,0,0,1.33,2,4,1.096,MEDIO
2024,11,TRUJILLO,FLORENCIA DE MORA,Extorsión,36487,18335.2,31,10,21.67,-1,17,4.659,ALTO
2024,11,TRUJILLO,FLORENCIA DE MORA,Hurto,36487,18335.2,33,18,22.67,23,33,9.044,ALTO
2024,11,TRUJILLO,FLORENCIA DE MORA,Robo,36487,18335.2,19,3,14.0,4,13,3.563,MEDIO
2024,11,TRUJILLO,FLORENCIA DE MORA,Violencia contra la mujer e integrantes,36487,18335.2,41,14,28.67,15,34,9.318,ALTO
2024,11,PACASMAYO,GUADALUPE,Extorsión,47778,196.3,19,19,21.67,11,20,4.186,ALTO
2024,11,PACASMAYO,GUADALUPE,Hurto,47778,196.3,7,20,17.33,-5,6,1.256,MEDIO
2024,11,PACASMAYO,GUADALUPE,Robo,47778,196.3,9,5,7.33,-21,8,1.674,MEDIO
2024,11,PACASMAYO,GUADALUPE,Violencia contra la mujer e integrantes,47778,196.3,23,28,28.0,-2,32,6.698,ALTO
2024,11,VIRU,GUADALUPITO,Extorsión,7051,18.1,0,0,0.33,2,3,4.255,BAJO
2024,11,VIRU,GUADALUPITO,Hurto,7051,18.1,2,6,2.67,4,5,7.091,MEDIO
2024,11,VIRU,GUADALUPITO,Robo,7051,18.1,3,3,3.0,7,9,12.764,MEDIO
2024,11,VIRU,GUADALUPITO,Violencia contra la mujer e integrantes,7051,18.1,1,3,1.33,0,2,2.836,BAJO
2024,11,SANCHEZ CARRION,HUAMACHUCO,Estafa,70727,166.8,3,5,5.0,6,8,1.131,MEDIO
2024,11,SANCHEZ CARRION,HUAMACHUCO,Extorsión,70727,166.8,6,4,5.67,-1,3,0.424,BAJO
2024,11,SANCHEZ CARRION,HUAMACHUCO,Hurto,70727,166.8,7,18,12.33,-17,6,0.848,MEDIO
2024,11,SANCHEZ CARRION,HUAMACHUCO,Robo,70727,166.8,2,4,5.0,-4,4,0.566,MEDIO
2024,11,SANCHEZ CARRION,HUAMACHUCO,Secuestro,70727,166.8,1,3,1.33,1,1,0.141,BAJO
2024,11,SANCHEZ CARRION,HUAMACHUCO,Violencia contra la mujer e integrantes,70727,166.8,31,44,37.0,-19,9,1.272,MEDIO
2024,11,TRUJILLO,HUANCHACO,Estafa,87035,260.7,5,4,4.33,-2,3,0.345,BAJO
